timestamp,api_key,type,message,payload
2026-02-11 13:21:01.308616,demo-client-key-123,HTTP_EXCEPTION,"HTTPSConnectionPool(host='fake-payment-gateway-xyz.com', port=443): Max retries exceeded with url: /pay (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000020FC92E9760>: Failed to resolve 'fake-payment-gateway-xyz.com' ([Errno 11001] getaddrinfo failed)""))",None
2026-02-11 13:21:55.336073,demo-client-key-123,HTTP_EXCEPTION,"HTTPSConnectionPool(host='fake-payment-gateway-xyz.com', port=443): Max retries exceeded with url: /pay (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000020FCC78CF50>: Failed to resolve 'fake-payment-gateway-xyz.com' ([Errno 11001] getaddrinfo failed)""))",None
2026-02-11 13:24:12.593620,string,string,string,{}
2026-02-11 19:25:10.833794,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:25:11.732270,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:25:11.874061,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:25:11.949390,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:25:12.086884,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:25:12.284670,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:25:12.491275,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:25:12.636418,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:25:12.700142,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:25:12.890682,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:25:21.876737,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:25:22.221934,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:25:22.423411,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:25:22.624343,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:25:22.775420,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:25:22.839781,demo-client-key-123,HTTP_EXCEPTION,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=2)",None
2026-02-11 19:25:30.056123,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:25:30.199041,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:25:37.359766,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:25:44.537317,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:25:51.712473,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:25:58.934661,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:26:06.112079,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:26:13.264928,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:26:20.374499,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:26:27.601463,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:26:34.795777,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:26:41.878528,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:26:49.063157,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:26:56.169354,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:27:03.360673,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:27:12.471560,demo-client-key-123,HTTP_CALL,,None
2026-02-11 19:27:12.613520,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:27:12.755557,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:27:12.961109,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:27:13.123542,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:27:13.200433,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:27:13.331745,demo-client-key-123,INCOMING_REQUEST,,None
2026-02-11 19:27:20.482133,demo-client-key-123,HTTP_CALL,,None
